teamID,teamName
"BAL","Baltimore Orioles (original- 1901–1902 current- since 1954)"
"CHI","Chicago Orphans/Colts/White Stockings (1876–1900)"
"CLE","Cleveland Indians/Naps/Broncos/Bluebirds/Lake Shores"
"KC","Kansas City Athletics (1955–1967) or Kansas City Royals (since 1969)"
"MIL","Milwaukee Brewers (original 1901) or Milwaukee Braves or Milwaukee Brewers (current since 1970)"
"NYH","New York Highlanders"
"PHA","Philadelphia Athletics"
"STL","St. Louis Cardinals/Perfectos/Browns/Brown Stockings"
