playerID,yearID,playerStint,teamID,league,numberOfGames,numberOfGamesAsBatter,AtBatting,runs,hits,doules,tripples,homeRuns,runsBattedIn,stolenBases,caughtStealing,baseOnBalls,strikeouts,intentionalWalks,hitsByPitch,sacrificeHits,sacrificeFlies,groundedIntoDoublePlays,G_old,playerName
boydja01,1895,1,WAS,NL,51,51,157,29,42,5,1,1,16,2,,20,28,,7,0,,,51,Jacob Henry
boydja01,1896,1,WAS,NL,4,4,13,1,1,0,0,0,1,0,,1,1,,1,0,,,4,Jacob Henry
boydja02,2000,1,PHI,NL,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Jason Pernell
boydoi01,1991,2,TEX,AL,12,0,,,,,,,,,,,,,,,,,12,Dennis Ray
boyerbl01,2005,1,ATL,NL,43,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,Blaine Thomas
boyerbl01,2006,1,ATL,NL,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Blaine Thomas
boyerbl01,2007,1,ATL,NL,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Blaine Thomas
boyerbl01,2008,1,ATL,NL,76,72,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,72,Blaine Thomas
boyerbl01,2009,1,ATL,NL,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Blaine Thomas
boyercl01,1955,1,KC1,AL,30,30,29,2,2,0,0,0,0,0,0,2,11,0,0,1,0,0,30,Cloyd Victor
boyercl02,1955,1,KC1,AL,47,47,79,3,19,1,0,0,6,0,0,3,17,0,0,0,0,3,47,Cletis Leroy
boyercl02,1956,1,KC1,AL,67,67,129,15,28,3,1,1,4,1,1,11,24,1,1,2,0,2,67,Cletis Leroy
boyercl02,1957,1,KC1,AL,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Cletis Leroy
boyercl02,1967,1,ATL,NL,154,154,572,63,140,18,3,26,96,6,3,39,81,3,2,0,6,14,154,Cletis Leroy
boyercl02,1968,1,ATL,NL,71,71,273,19,62,7,2,4,17,2,0,16,32,3,2,0,0,8,71,Cletis Leroy
boyercl02,1969,1,ATL,NL,144,144,496,57,124,16,1,14,57,3,7,55,87,6,4,4,3,16,144,Cletis Leroy
boyercl02,1970,1,ATL,NL,134,134,475,44,117,14,1,16,62,2,5,41,71,8,1,3,5,11,134,Cletis Leroy
boyercl02,1971,1,ATL,NL,30,30,98,10,24,1,0,6,19,0,0,8,11,2,0,1,1,1,30,Cletis Leroy
boyerke01,1968,2,LAN,NL,83,83,221,20,60,7,2,6,41,2,2,16,34,3,1,0,5,2,83,Kenton Lloyd
boyerke01,1969,1,LAN,NL,25,25,34,0,7,2,0,0,4,0,0,2,7,0,0,0,0,2,25,Kenton Lloyd
boylebu01,1929,1,BSN,NL,17,17,57,8,15,2,1,1,2,2,,6,11,,0,3,,,17,Ralph Francis
boylebu01,1930,1,BSN,NL,1,1,1,0,0,0,0,0,0,0,,0,1,,0,0,,,1,Ralph Francis
boylehe01,1887,1,IN3,NL,41,41,141,17,27,9,1,2,13,2,,9,18,,2,,,,41,Henry J.
boylehe01,1888,1,IN3,NL,37,37,125,13,18,2,0,1,6,1,,6,31,,1,,,,37,Henry J.
boylehe01,1889,1,IN3,NL,46,46,155,17,38,10,0,1,17,4,,9,23,,1,,,,46,Henry J.
boyleja01,1887,1,SL4,AA,88,88,350,48,66,3,1,2,41,7,,20,,,2,,,,88,John Anthony
boyleja01,1888,1,SL4,AA,71,71,257,33,62,8,1,1,23,11,,13,,,3,,,,71,John Anthony
boyleja01,1889,1,SL4,AA,99,99,347,54,85,11,5,3,42,5,,21,42,,7,,,,99,John Anthony
boyleja01,1891,1,SL4,AA,123,123,439,78,123,18,8,5,79,19,,47,36,,12,,,,123,John Anthony
boyleja01,1893,1,PHI,NL,116,116,504,105,144,29,9,4,81,22,,41,30,,10,,,,116,John Anthony
boyleja01,1894,1,PHI,NL,114,114,495,98,149,21,10,4,88,21,,45,26,,3,,,,114,John Anthony
boyleja01,1895,1,PHI,NL,133,133,565,90,143,17,4,0,67,13,,35,23,,5,20,,,133,John Anthony
boyleja01,1896,1,PHI,NL,40,40,145,17,43,4,1,1,28,3,,6,7,,5,2,,,40,John Anthony
boyleja01,1897,1,PHI,NL,75,75,288,37,73,9,1,2,36,3,,19,,,3,5,,,75,John Anthony
boyleja01,1898,1,PHI,NL,6,6,22,0,2,0,1,0,3,0,,1,,,0,1,,,6,John Anthony
boyleja02,1912,1,PHI,NL,15,15,25,4,7,1,0,0,2,0,,1,5,,0,0,,,15,John Bellew
